skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:43:46Z
quality-playbook	github/awesome-copilot	2026-08-05T21:43:46Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:43:46Z
refactor	github/awesome-copilot	2026-08-05T21:43:46Z
code-review	getsentry/skills	2026-08-05T21:43:46Z
code-simplifier	getsentry/skills	2026-08-05T21:43:46Z
find-bugs	getsentry/skills	2026-08-05T21:43:46Z
security-threat-model	openai/skills	2026-08-05T21:43:46Z
supabase	supabase/agent-skills	2026-08-05T21:43:46Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:43:46Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:43:46Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:43:46Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:43:46Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:43:46Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:43:46Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:43:46Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:43:46Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:43:46Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:43:46Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:43:46Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:43:46Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:43:46Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:43:46Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:43:46Z
api-design-principles	wshobson/agents	2026-08-05T21:43:46Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:43:46Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:43:46Z
error-handling-patterns	wshobson/agents	2026-08-05T21:43:46Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:43:46Z
secrets-management	wshobson/agents	2026-08-05T21:43:46Z
sast-configuration	wshobson/agents	2026-08-05T21:43:46Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:43:46Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:43:46Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:43:46Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:43:46Z
